id,farmId,receivedDate,status
85,5,2025-08-14,COMPLETED
86,1,2025-08-15,COMPLETED
87,2,2025-08-15,COMPLETED
88,3,2025-08-15,COMPLETED
89,4,2025-08-15,COMPLETED
90,5,2025-08-15,COMPLETED
91,1,2025-08-16,COMPLETED
92,2,2025-08-16,COMPLETED
93,3,2025-08-16,COMPLETED
94,4,2025-08-16,COMPLETED
95,5,2025-08-16,COMPLETED
96,1,2025-08-17,COMPLETED
97,2,2025-08-17,COMPLETED
98,3,2025-08-17,COMPLETED
99,4,2025-08-17,COMPLETED
100,5,2025-08-17,COMPLETED
101,1,2025-08-18,COMPLETED
102,2,2025-08-18,COMPLETED
103,3,2025-08-18,COMPLETED
104,4,2025-08-18,COMPLETED
105,5,2025-08-18,COMPLETED
106,1,2025-08-19,COMPLETED
107,2,2025-08-19,COMPLETED
108,3,2025-08-19,COMPLETED
109,4,2025-08-19,COMPLETED
110,5,2025-08-19,COMPLETED
111,1,2025-08-20,COMPLETED
112,2,2025-08-20,COMPLETED
113,3,2025-08-20,COMPLETED
114,4,2025-08-20,COMPLETED
115,5,2025-08-20,COMPLETED
116,1,2025-08-21,COMPLETED
117,2,2025-08-21,COMPLETED
118,3,2025-08-21,COMPLETED
119,4,2025-08-21,COMPLETED
120,5,2025-08-21,COMPLETED
121,1,2025-08-22,COMPLETED
122,2,2025-08-22,COMPLETED
123,3,2025-08-22,COMPLETED
124,4,2025-08-22,COMPLETED
125,5,2025-08-22,COMPLETED
126,1,2025-08-23,COMPLETED
127,2,2025-08-23,COMPLETED
128,3,2025-08-23,COMPLETED
129,4,2025-08-23,COMPLETED
130,5,2025-08-23,COMPLETED
131,1,2025-08-24,COMPLETED
132,2,2025-08-24,COMPLETED
133,3,2025-08-24,COMPLETED
134,4,2025-08-24,COMPLETED
135,5,2025-08-24,COMPLETED
136,1,2025-08-25,COMPLETED
137,2,2025-08-25,COMPLETED
138,3,2025-08-25,COMPLETED
139,4,2025-08-25,COMPLETED
140,5,2025-08-25,COMPLETED
141,1,2025-08-26,COMPLETED
142,2,2025-08-26,COMPLETED
143,3,2025-08-26,COMPLETED
144,4,2025-08-26,COMPLETED
145,5,2025-08-26,COMPLETED
146,1,2025-08-27,COMPLETED
147,2,2025-08-27,COMPLETED
148,3,2025-08-27,COMPLETED
149,4,2025-08-27,COMPLETED
150,5,2025-08-27,COMPLETED
151,1,2025-08-28,COMPLETED
152,2,2025-08-28,COMPLETED
153,3,2025-08-28,COMPLETED
154,4,2025-08-28,COMPLETED
155,5,2025-08-28,COMPLETED
156,1,2025-08-29,COMPLETED
157,2,2025-08-29,COMPLETED
158,3,2025-08-29,COMPLETED
159,4,2025-08-29,COMPLETED
160,5,2025-08-29,COMPLETED
161,1,2025-08-30,COMPLETED
162,2,2025-08-30,COMPLETED
163,3,2025-08-30,COMPLETED
164,4,2025-08-30,COMPLETED
165,5,2025-08-30,COMPLETED
166,1,2025-08-31,COMPLETED
167,2,2025-08-31,COMPLETED
168,3,2025-08-31,COMPLETED
169,4,2025-08-31,COMPLETED
170,5,2025-08-31,COMPLETED
171,1,2025-09-01,COMPLETED
172,2,2025-09-01,COMPLETED
173,3,2025-09-01,COMPLETED
174,4,2025-09-01,COMPLETED
175,5,2025-09-01,COMPLETED
176,1,2025-09-02,COMPLETED
177,2,2025-09-02,COMPLETED
178,3,2025-09-02,COMPLETED
179,4,2025-09-02,COMPLETED
180,5,2025-09-02,COMPLETED
181,1,2025-09-03,COMPLETED
182,2,2025-09-03,COMPLETED
183,3,2025-09-03,COMPLETED
184,4,2025-09-03,COMPLETED
185,5,2025-09-03,COMPLETED
186,1,2025-09-04,COMPLETED
187,2,2025-09-04,COMPLETED
188,3,2025-09-04,COMPLETED
189,4,2025-09-04,COMPLETED
190,5,2025-09-04,COMPLETED
191,1,2025-09-05,COMPLETED
192,2,2025-09-05,COMPLETED
193,3,2025-09-05,COMPLETED
194,4,2025-09-05,COMPLETED
195,5,2025-09-05,COMPLETED
196,1,2025-09-06,COMPLETED
197,2,2025-09-06,COMPLETED
198,3,2025-09-06,COMPLETED
199,4,2025-09-06,COMPLETED
200,5,2025-09-06,COMPLETED
201,1,2025-09-07,COMPLETED
202,2,2025-09-07,COMPLETED
203,3,2025-09-07,COMPLETED
204,4,2025-09-07,COMPLETED
205,5,2025-09-07,COMPLETED
206,1,2025-09-08,COMPLETED
207,2,2025-09-08,COMPLETED
208,3,2025-09-08,COMPLETED
209,4,2025-09-08,COMPLETED
210,5,2025-09-08,COMPLETED
211,1,2025-09-09,COMPLETED
212,2,2025-09-09,COMPLETED
213,3,2025-09-09,COMPLETED
214,4,2025-09-09,COMPLETED
215,5,2025-09-09,COMPLETED
216,1,2025-09-10,COMPLETED
217,2,2025-09-10,COMPLETED
218,3,2025-09-10,COMPLETED
219,4,2025-09-10,COMPLETED
220,5,2025-09-10,COMPLETED
221,1,2025-09-11,COMPLETED
222,2,2025-09-11,COMPLETED
223,3,2025-09-11,COMPLETED
224,4,2025-09-11,COMPLETED
225,5,2025-09-11,COMPLETED
226,1,2025-09-12,COMPLETED
227,2,2025-09-12,COMPLETED
228,3,2025-09-12,COMPLETED
229,4,2025-09-12,COMPLETED
230,5,2025-09-12,COMPLETED
231,1,2025-09-13,COMPLETED
232,2,2025-09-13,COMPLETED
233,3,2025-09-13,COMPLETED
234,4,2025-09-13,COMPLETED
235,5,2025-09-13,COMPLETED
236,1,2025-09-14,COMPLETED
237,2,2025-09-14,COMPLETED
238,3,2025-09-14,COMPLETED
239,4,2025-09-14,COMPLETED
240,5,2025-09-14,COMPLETED
241,1,2025-09-15,COMPLETED
242,2,2025-09-15,COMPLETED
243,3,2025-09-15,COMPLETED
244,4,2025-09-15,COMPLETED
245,5,2025-09-15,COMPLETED
246,1,2025-09-16,COMPLETED
247,2,2025-09-16,COMPLETED
248,3,2025-09-16,COMPLETED
249,4,2025-09-16,COMPLETED
250,5,2025-09-16,COMPLETED
251,1,2025-09-17,COMPLETED
252,2,2025-09-17,COMPLETED
253,3,2025-09-17,COMPLETED
254,4,2025-09-17,COMPLETED
255,5,2025-09-17,COMPLETED
256,1,2025-09-18,COMPLETED
257,2,2025-09-18,COMPLETED
258,3,2025-09-18,COMPLETED
259,4,2025-09-18,COMPLETED
260,5,2025-09-18,COMPLETED
261,1,2025-09-19,COMPLETED
262,2,2025-09-19,COMPLETED
263,3,2025-09-19,COMPLETED
264,4,2025-09-19,COMPLETED
265,5,2025-09-19,COMPLETED
266,1,2025-09-20,COMPLETED
267,2,2025-09-20,COMPLETED
268,3,2025-09-20,COMPLETED
269,4,2025-09-20,COMPLETED
270,5,2025-09-20,COMPLETED
271,1,2025-09-21,COMPLETED
272,2,2025-09-21,COMPLETED
273,3,2025-09-21,COMPLETED
274,4,2025-09-21,COMPLETED
275,5,2025-09-21,COMPLETED
276,1,2025-09-22,COMPLETED
277,2,2025-09-22,COMPLETED
278,3,2025-09-22,COMPLETED
279,4,2025-09-22,COMPLETED
280,5,2025-09-22,COMPLETED
281,1,2025-09-23,COMPLETED
282,2,2025-09-23,COMPLETED
283,3,2025-09-23,COMPLETED
284,4,2025-09-23,COMPLETED
285,5,2025-09-23,COMPLETED
286,1,2025-09-24,COMPLETED
287,2,2025-09-24,COMPLETED
288,3,2025-09-24,COMPLETED
289,4,2025-09-24,COMPLETED
290,5,2025-09-24,COMPLETED
291,1,2025-09-25,COMPLETED
292,2,2025-09-25,COMPLETED
293,3,2025-09-25,COMPLETED
294,4,2025-09-25,COMPLETED
295,5,2025-09-25,COMPLETED
296,1,2025-09-26,COMPLETED
297,2,2025-09-26,COMPLETED
298,3,2025-09-26,COMPLETED
299,4,2025-09-26,COMPLETED
300,5,2025-09-26,COMPLETED
301,1,2025-09-27,COMPLETED
302,2,2025-09-27,COMPLETED
303,3,2025-09-27,COMPLETED
304,4,2025-09-27,COMPLETED
305,5,2025-09-27,COMPLETED
306,1,2025-09-28,COMPLETED
307,2,2025-09-28,COMPLETED
308,3,2025-09-28,COMPLETED
309,4,2025-09-28,COMPLETED
310,5,2025-09-28,COMPLETED
311,1,2025-09-29,COMPLETED
312,2,2025-09-29,COMPLETED
313,3,2025-09-29,COMPLETED
314,4,2025-09-29,COMPLETED
315,5,2025-09-29,COMPLETED
316,1,2025-09-30,COMPLETED
317,2,2025-09-30,COMPLETED
318,3,2025-09-30,COMPLETED
319,4,2025-09-30,COMPLETED
320,5,2025-09-30,COMPLETED
321,1,2025-10-01,COMPLETED
322,2,2025-10-01,COMPLETED
323,3,2025-10-01,COMPLETED
324,4,2025-10-01,COMPLETED
325,5,2025-10-01,COMPLETED
326,1,2025-10-02,COMPLETED
327,2,2025-10-02,COMPLETED
328,3,2025-10-02,COMPLETED
329,4,2025-10-02,COMPLETED
330,5,2025-10-02,COMPLETED
331,1,2025-10-03,COMPLETED
332,2,2025-10-03,COMPLETED
333,3,2025-10-03,COMPLETED
334,4,2025-10-03,COMPLETED
335,5,2025-10-03,COMPLETED
336,1,2025-10-04,COMPLETED
337,2,2025-10-04,COMPLETED
338,3,2025-10-04,COMPLETED
339,4,2025-10-04,COMPLETED
340,5,2025-10-04,COMPLETED
341,1,2025-10-05,COMPLETED
342,2,2025-10-05,COMPLETED
343,3,2025-10-05,COMPLETED
344,4,2025-10-05,COMPLETED
345,5,2025-10-05,COMPLETED
346,1,2025-10-06,COMPLETED
347,2,2025-10-06,COMPLETED
348,3,2025-10-06,COMPLETED
349,4,2025-10-06,COMPLETED
350,5,2025-10-06,COMPLETED
351,1,2025-10-07,COMPLETED
352,2,2025-10-07,COMPLETED
353,3,2025-10-07,COMPLETED
354,4,2025-10-07,COMPLETED
355,5,2025-10-07,COMPLETED
356,1,2025-10-08,COMPLETED
357,2,2025-10-08,COMPLETED
358,3,2025-10-08,COMPLETED
359,4,2025-10-08,COMPLETED
360,5,2025-10-08,COMPLETED
361,1,2025-10-09,COMPLETED
362,2,2025-10-09,COMPLETED
363,3,2025-10-09,COMPLETED
364,4,2025-10-09,COMPLETED
365,5,2025-10-09,COMPLETED
366,1,2025-10-10,COMPLETED
367,2,2025-10-10,COMPLETED
368,3,2025-10-10,COMPLETED
369,4,2025-10-10,COMPLETED
370,5,2025-10-10,COMPLETED
371,1,2025-10-11,COMPLETED
372,2,2025-10-11,COMPLETED
373,3,2025-10-11,COMPLETED
374,4,2025-10-11,COMPLETED
375,5,2025-10-11,COMPLETED
376,1,2025-10-12,COMPLETED
377,2,2025-10-12,COMPLETED
378,3,2025-10-12,COMPLETED
379,4,2025-10-12,COMPLETED
380,5,2025-10-12,COMPLETED
381,1,2025-10-13,COMPLETED
382,2,2025-10-13,COMPLETED
383,3,2025-10-13,COMPLETED
384,4,2025-10-13,COMPLETED
385,5,2025-10-13,COMPLETED
386,1,2025-10-14,COMPLETED
387,2,2025-10-14,COMPLETED
388,3,2025-10-14,COMPLETED
389,4,2025-10-14,COMPLETED
390,5,2025-10-14,COMPLETED
391,1,2025-10-15,COMPLETED
392,2,2025-10-15,COMPLETED
393,3,2025-10-15,COMPLETED
394,4,2025-10-15,COMPLETED
395,5,2025-10-15,COMPLETED
396,1,2025-10-16,COMPLETED
397,2,2025-10-16,COMPLETED
398,3,2025-10-16,COMPLETED
399,4,2025-10-16,COMPLETED
400,5,2025-10-16,COMPLETED
401,1,2025-10-17,COMPLETED
402,2,2025-10-17,COMPLETED
403,3,2025-10-17,COMPLETED
404,4,2025-10-17,COMPLETED
405,5,2025-10-17,COMPLETED
406,1,2025-10-18,COMPLETED
407,2,2025-10-18,COMPLETED
408,3,2025-10-18,COMPLETED
409,4,2025-10-18,COMPLETED
410,5,2025-10-18,COMPLETED
411,1,2025-10-19,COMPLETED
412,2,2025-10-19,COMPLETED
413,3,2025-10-19,COMPLETED
414,4,2025-10-19,COMPLETED
415,5,2025-10-19,COMPLETED
416,1,2025-10-20,COMPLETED
417,2,2025-10-20,COMPLETED
418,3,2025-10-20,COMPLETED
419,4,2025-10-20,COMPLETED
420,5,2025-10-20,COMPLETED
421,1,2025-10-21,COMPLETED
422,2,2025-10-21,COMPLETED
423,3,2025-10-21,COMPLETED
424,4,2025-10-21,COMPLETED
425,5,2025-10-21,COMPLETED
426,1,2025-10-22,COMPLETED
427,2,2025-10-22,COMPLETED
428,3,2025-10-22,COMPLETED
429,4,2025-10-22,COMPLETED
430,5,2025-10-22,COMPLETED
431,1,2025-10-23,COMPLETED
432,2,2025-10-23,COMPLETED
433,3,2025-10-23,COMPLETED
434,4,2025-10-23,COMPLETED
435,5,2025-10-23,COMPLETED
436,1,2025-10-24,COMPLETED
437,2,2025-10-24,COMPLETED
438,3,2025-10-24,COMPLETED
439,4,2025-10-24,COMPLETED
440,5,2025-10-24,COMPLETED
441,1,2025-10-25,COMPLETED
442,2,2025-10-25,COMPLETED
443,3,2025-10-25,COMPLETED
444,4,2025-10-25,COMPLETED
445,5,2025-10-25,COMPLETED
446,1,2025-10-26,COMPLETED
447,2,2025-10-26,COMPLETED
448,3,2025-10-26,COMPLETED
449,4,2025-10-26,COMPLETED
450,5,2025-10-26,COMPLETED
451,1,2025-10-27,COMPLETED
452,2,2025-10-27,COMPLETED
453,3,2025-10-27,COMPLETED
454,4,2025-10-27,COMPLETED
455,5,2025-10-27,COMPLETED
456,1,2025-10-28,COMPLETED
457,2,2025-10-28,COMPLETED
458,3,2025-10-28,COMPLETED
459,4,2025-10-28,COMPLETED
460,5,2025-10-28,COMPLETED
461,1,2025-10-29,COMPLETED
462,2,2025-10-29,COMPLETED
463,3,2025-10-29,COMPLETED
464,4,2025-10-29,COMPLETED
465,5,2025-10-29,COMPLETED
466,1,2025-10-30,COMPLETED
467,2,2025-10-30,COMPLETED
468,3,2025-10-30,COMPLETED
469,4,2025-10-30,COMPLETED
470,5,2025-10-30,COMPLETED
471,1,2025-10-31,COMPLETED
472,2,2025-10-31,COMPLETED
473,3,2025-10-31,COMPLETED
474,4,2025-10-31,COMPLETED
475,5,2025-10-31,COMPLETED
476,1,2025-11-01,COMPLETED
477,2,2025-11-01,COMPLETED
478,3,2025-11-01,COMPLETED
479,4,2025-11-01,COMPLETED
480,5,2025-11-01,COMPLETED
481,1,2025-11-02,COMPLETED
482,2,2025-11-02,COMPLETED
483,3,2025-11-02,COMPLETED
484,4,2025-11-02,COMPLETED
485,5,2025-11-02,COMPLETED
486,1,2025-11-03,COMPLETED
487,2,2025-11-03,COMPLETED
488,3,2025-11-03,COMPLETED
489,4,2025-11-03,COMPLETED
490,5,2025-11-03,COMPLETED
491,1,2025-11-04,COMPLETED
492,2,2025-11-04,COMPLETED
493,3,2025-11-04,COMPLETED
494,4,2025-11-04,COMPLETED
495,5,2025-11-04,COMPLETED
496,1,2025-11-05,COMPLETED
497,2,2025-11-05,COMPLETED
498,3,2025-11-05,COMPLETED
499,4,2025-11-05,COMPLETED
500,5,2025-11-05,COMPLETED
501,1,2025-11-06,COMPLETED
502,2,2025-11-06,COMPLETED
503,3,2025-11-06,COMPLETED
504,4,2025-11-06,COMPLETED
505,5,2025-11-06,COMPLETED
506,1,2025-11-07,COMPLETED
507,2,2025-11-07,COMPLETED
508,3,2025-11-07,COMPLETED
509,4,2025-11-07,COMPLETED
510,5,2025-11-07,COMPLETED
511,1,2025-11-08,COMPLETED
512,2,2025-11-08,COMPLETED
513,3,2025-11-08,COMPLETED
514,4,2025-11-08,COMPLETED
515,5,2025-11-08,COMPLETED
516,1,2025-11-09,COMPLETED
517,2,2025-11-09,COMPLETED
518,3,2025-11-09,COMPLETED
519,4,2025-11-09,COMPLETED
520,5,2025-11-09,COMPLETED
521,1,2025-11-10,COMPLETED
522,2,2025-11-10,COMPLETED
523,3,2025-11-10,COMPLETED
524,4,2025-11-10,COMPLETED
525,5,2025-11-10,COMPLETED
526,1,2025-11-11,COMPLETED
527,2,2025-11-11,COMPLETED
528,3,2025-11-11,COMPLETED
529,4,2025-11-11,COMPLETED
530,5,2025-11-11,COMPLETED
531,1,2025-11-12,COMPLETED
532,2,2025-11-12,COMPLETED
533,3,2025-11-12,COMPLETED
534,4,2025-11-12,COMPLETED
535,5,2025-11-12,COMPLETED
536,1,2025-11-13,COMPLETED
537,2,2025-11-13,COMPLETED
538,3,2025-11-13,COMPLETED
539,4,2025-11-13,COMPLETED
540,5,2025-11-13,COMPLETED
541,1,2025-11-14,COMPLETED
542,2,2025-11-14,COMPLETED
543,3,2025-11-14,COMPLETED
544,4,2025-11-14,COMPLETED
545,5,2025-11-14,COMPLETED
546,1,2025-11-15,COMPLETED
547,2,2025-11-15,COMPLETED
548,3,2025-11-15,COMPLETED
549,4,2025-11-15,COMPLETED
550,5,2025-11-15,COMPLETED
551,1,2025-11-16,COMPLETED
552,2,2025-11-16,COMPLETED
553,3,2025-11-16,COMPLETED
554,4,2025-11-16,COMPLETED
555,5,2025-11-16,COMPLETED
556,1,2025-11-17,COMPLETED
557,2,2025-11-17,COMPLETED
558,3,2025-11-17,COMPLETED
559,4,2025-11-17,COMPLETED
560,5,2025-11-17,COMPLETED
561,1,2025-11-18,COMPLETED
562,2,2025-11-18,COMPLETED
563,3,2025-11-18,COMPLETED
564,4,2025-11-18,COMPLETED
565,5,2025-11-18,COMPLETED
566,1,2025-11-19,COMPLETED
567,2,2025-11-19,COMPLETED
568,3,2025-11-19,COMPLETED
569,4,2025-11-19,COMPLETED
570,5,2025-11-19,COMPLETED
571,1,2025-11-20,COMPLETED
572,2,2025-11-20,COMPLETED
573,3,2025-11-20,COMPLETED
574,4,2025-11-20,COMPLETED
575,5,2025-11-20,COMPLETED
576,1,2025-11-21,COMPLETED
577,2,2025-11-21,COMPLETED
578,3,2025-11-21,COMPLETED
579,4,2025-11-21,COMPLETED
580,5,2025-11-21,COMPLETED
581,1,2025-11-22,COMPLETED
582,2,2025-11-22,COMPLETED
583,3,2025-11-22,COMPLETED
584,4,2025-11-22,COMPLETED
585,5,2025-11-22,COMPLETED
586,1,2025-11-23,COMPLETED
587,2,2025-11-23,COMPLETED
588,3,2025-11-23,COMPLETED
589,4,2025-11-23,COMPLETED
590,5,2025-11-23,COMPLETED
591,1,2025-11-24,COMPLETED
592,2,2025-11-24,COMPLETED
593,3,2025-11-24,COMPLETED
594,4,2025-11-24,COMPLETED
595,5,2025-11-24,COMPLETED
596,1,2025-11-25,COMPLETED
597,2,2025-11-25,COMPLETED
598,3,2025-11-25,COMPLETED
599,4,2025-11-25,COMPLETED
600,5,2025-11-25,COMPLETED
601,1,2025-11-26,COMPLETED
602,2,2025-11-26,COMPLETED
603,3,2025-11-26,COMPLETED
604,4,2025-11-26,COMPLETED
605,5,2025-11-26,COMPLETED
606,1,2025-11-27,COMPLETED
607,2,2025-11-27,COMPLETED
608,3,2025-11-27,COMPLETED
609,4,2025-11-27,COMPLETED
610,5,2025-11-27,COMPLETED
611,1,2025-11-28,COMPLETED
612,2,2025-11-28,COMPLETED
613,3,2025-11-28,COMPLETED
614,4,2025-11-28,COMPLETED
615,5,2025-11-28,COMPLETED
616,1,2025-11-29,COMPLETED
617,2,2025-11-29,COMPLETED
618,3,2025-11-29,COMPLETED
619,4,2025-11-29,COMPLETED
620,5,2025-11-29,COMPLETED
621,1,2025-11-30,COMPLETED
622,2,2025-11-30,COMPLETED
623,3,2025-11-30,COMPLETED
624,4,2025-11-30,COMPLETED
625,5,2025-11-30,COMPLETED
626,1,2025-12-01,COMPLETED
627,2,2025-12-01,COMPLETED
628,3,2025-12-01,COMPLETED
629,4,2025-12-01,COMPLETED
630,5,2025-12-01,COMPLETED
631,1,2025-12-02,COMPLETED
632,2,2025-12-02,COMPLETED
633,3,2025-12-02,COMPLETED
634,4,2025-12-02,COMPLETED
635,5,2025-12-02,COMPLETED
636,1,2025-12-03,COMPLETED
637,2,2025-12-03,COMPLETED
638,3,2025-12-03,COMPLETED
639,4,2025-12-03,COMPLETED
640,5,2025-12-03,COMPLETED
641,1,2025-12-04,COMPLETED
642,2,2025-12-04,COMPLETED
643,3,2025-12-04,COMPLETED
644,4,2025-12-04,COMPLETED
645,5,2025-12-04,COMPLETED
646,1,2025-12-05,COMPLETED
647,2,2025-12-05,COMPLETED
648,3,2025-12-05,COMPLETED
649,4,2025-12-05,COMPLETED
650,5,2025-12-05,COMPLETED
651,1,2025-12-06,COMPLETED
652,2,2025-12-06,COMPLETED
653,3,2025-12-06,COMPLETED
654,4,2025-12-06,COMPLETED
655,5,2025-12-06,COMPLETED
656,1,2025-12-07,COMPLETED
657,2,2025-12-07,COMPLETED
658,3,2025-12-07,COMPLETED
659,4,2025-12-07,COMPLETED
660,5,2025-12-07,COMPLETED
661,1,2025-12-08,COMPLETED
662,2,2025-12-08,COMPLETED
663,3,2025-12-08,COMPLETED
664,4,2025-12-08,COMPLETED
665,5,2025-12-08,COMPLETED
666,1,2025-12-09,COMPLETED
667,2,2025-12-09,COMPLETED
668,3,2025-12-09,COMPLETED
669,4,2025-12-09,COMPLETED
670,5,2025-12-09,COMPLETED
671,1,2025-12-10,COMPLETED
672,2,2025-12-10,COMPLETED
673,3,2025-12-10,COMPLETED
674,4,2025-12-10,COMPLETED
675,5,2025-12-10,COMPLETED
676,1,2025-12-11,COMPLETED
677,2,2025-12-11,COMPLETED
678,3,2025-12-11,COMPLETED
679,4,2025-12-11,COMPLETED
680,5,2025-12-11,COMPLETED
681,1,2025-12-12,COMPLETED
682,2,2025-12-12,COMPLETED
683,3,2025-12-12,COMPLETED
684,4,2025-12-12,COMPLETED
685,5,2025-12-12,COMPLETED
686,1,2025-12-13,COMPLETED
687,2,2025-12-13,COMPLETED
688,3,2025-12-13,COMPLETED
689,4,2025-12-13,COMPLETED
690,5,2025-12-13,COMPLETED
691,1,2025-12-14,COMPLETED
692,2,2025-12-14,COMPLETED
693,3,2025-12-14,COMPLETED
694,4,2025-12-14,COMPLETED
695,5,2025-12-14,COMPLETED
696,1,2025-12-15,COMPLETED
697,2,2025-12-15,COMPLETED
698,3,2025-12-15,COMPLETED
699,4,2025-12-15,COMPLETED
700,5,2025-12-15,COMPLETED
701,1,2025-12-16,COMPLETED
702,2,2025-12-16,COMPLETED
703,3,2025-12-16,COMPLETED
704,4,2025-12-16,COMPLETED
705,5,2025-12-16,COMPLETED
706,1,2025-12-17,COMPLETED
707,2,2025-12-17,COMPLETED
708,3,2025-12-17,COMPLETED
709,4,2025-12-17,COMPLETED
710,5,2025-12-17,COMPLETED
711,1,2025-12-18,COMPLETED
712,2,2025-12-18,COMPLETED
713,3,2025-12-18,COMPLETED
714,4,2025-12-18,COMPLETED
715,5,2025-12-18,COMPLETED
716,1,2025-12-19,COMPLETED
717,2,2025-12-19,COMPLETED
718,3,2025-12-19,COMPLETED
719,4,2025-12-19,COMPLETED
720,5,2025-12-19,COMPLETED
721,1,2025-12-20,COMPLETED
722,2,2025-12-20,COMPLETED
723,3,2025-12-20,COMPLETED
724,4,2025-12-20,COMPLETED
725,5,2025-12-20,COMPLETED
726,1,2025-12-21,COMPLETED
727,2,2025-12-21,COMPLETED
728,3,2025-12-21,COMPLETED
729,4,2025-12-21,COMPLETED
730,5,2025-12-21,COMPLETED
731,1,2025-12-22,COMPLETED
732,2,2025-12-22,COMPLETED
733,3,2025-12-22,COMPLETED
734,4,2025-12-22,COMPLETED
735,5,2025-12-22,COMPLETED
736,1,2025-12-23,COMPLETED
737,2,2025-12-23,COMPLETED
738,3,2025-12-23,COMPLETED
739,4,2025-12-23,COMPLETED
740,5,2025-12-23,COMPLETED
741,1,2025-12-24,COMPLETED
742,2,2025-12-24,COMPLETED
743,3,2025-12-24,COMPLETED
744,4,2025-12-24,COMPLETED
745,5,2025-12-24,COMPLETED
746,1,2025-12-25,COMPLETED
747,2,2025-12-25,COMPLETED
748,3,2025-12-25,COMPLETED
749,4,2025-12-25,COMPLETED
750,5,2025-12-25,COMPLETED
751,1,2025-12-26,COMPLETED
752,2,2025-12-26,COMPLETED
753,3,2025-12-26,COMPLETED
754,4,2025-12-26,COMPLETED
755,5,2025-12-26,COMPLETED
756,1,2025-12-27,COMPLETED
757,2,2025-12-27,COMPLETED
758,3,2025-12-27,COMPLETED
759,4,2025-12-27,COMPLETED
760,5,2025-12-27,COMPLETED
761,1,2025-12-28,COMPLETED
762,2,2025-12-28,COMPLETED
763,3,2025-12-28,COMPLETED
764,4,2025-12-28,COMPLETED
765,5,2025-12-28,COMPLETED
766,1,2025-12-29,COMPLETED
767,2,2025-12-29,COMPLETED
768,3,2025-12-29,COMPLETED
769,4,2025-12-29,COMPLETED
770,5,2025-12-29,COMPLETED
771,1,2025-12-30,COMPLETED
772,2,2025-12-30,COMPLETED
773,3,2025-12-30,COMPLETED
774,4,2025-12-30,COMPLETED
775,5,2025-12-30,COMPLETED
776,1,2025-12-31,COMPLETED
