id,branchId,flowerId,sourceOrderId,quantity,shippedAt
114,2,29,114,25,2025-07-29
115,3,29,115,23,2025-07-29
116,4,29,116,31,2025-07-29
117,1,30,117,30,2025-07-29
118,2,30,118,33,2025-07-29
119,3,30,119,18,2025-07-29
120,4,30,120,27,2025-07-29
121,1,31,121,22,2025-07-29
122,2,31,122,13,2025-07-29
123,3,31,123,25,2025-07-29
124,4,31,124,25,2025-07-29
125,1,32,125,21,2025-07-29
126,2,32,126,35,2025-07-29
127,3,32,127,15,2025-07-29
128,4,32,128,38,2025-07-29
129,1,33,129,15,2025-07-29
130,2,33,130,39,2025-07-29
131,3,33,131,22,2025-07-29
132,4,33,132,27,2025-07-29
133,1,34,133,21,2025-07-29
134,2,34,134,33,2025-07-29
135,3,34,135,18,2025-07-29
136,4,34,136,12,2025-07-29
137,1,35,137,29,2025-07-29
138,2,35,138,20,2025-07-29
139,3,35,139,21,2025-07-29
140,4,35,140,14,2025-07-29
141,1,1,141,16,2025-07-30
142,2,1,142,23,2025-07-30
143,3,1,143,30,2025-07-30
144,4,1,144,28,2025-07-30
145,1,2,145,14,2025-07-30
146,2,2,146,33,2025-07-30
147,3,2,147,23,2025-07-30
148,4,2,148,26,2025-07-30
149,1,3,149,18,2025-07-30
150,2,3,150,25,2025-07-30
151,3,3,151,40,2025-07-30
152,4,3,152,22,2025-07-30
153,1,4,153,35,2025-07-30
154,2,4,154,17,2025-07-30
155,3,4,155,19,2025-07-30
156,4,4,156,23,2025-07-30
157,1,5,157,29,2025-07-30
158,2,5,158,21,2025-07-30
159,3,5,159,21,2025-07-30
160,4,5,160,26,2025-07-30
161,1,6,161,23,2025-07-30
162,2,6,162,16,2025-07-30
163,3,6,163,17,2025-07-30
164,4,6,164,31,2025-07-30
165,1,7,165,42,2025-07-30
166,2,7,166,21,2025-07-30
167,3,7,167,46,2025-07-30
168,4,7,168,22,2025-07-30
169,1,8,169,39,2025-07-30
170,2,8,170,35,2025-07-30
171,3,8,171,22,2025-07-30
172,4,8,172,16,2025-07-30
173,1,9,173,36,2025-07-30
174,2,9,174,15,2025-07-30
175,3,9,175,19,2025-07-30
176,4,9,176,33,2025-07-30
177,1,10,177,31,2025-07-30
178,2,10,178,8,2025-07-30
179,3,10,179,21,2025-07-30
180,4,10,180,19,2025-07-30
181,1,11,181,15,2025-07-30
182,2,11,182,22,2025-07-30
183,3,11,183,13,2025-07-30
184,4,11,184,49,2025-07-30
185,1,12,185,42,2025-07-30
186,2,12,186,17,2025-07-30
187,3,12,187,33,2025-07-30
188,4,12,188,35,2025-07-30
189,1,13,189,23,2025-07-30
190,2,13,190,28,2025-07-30
191,3,13,191,19,2025-07-30
192,4,13,192,32,2025-07-30
193,1,14,193,32,2025-07-30
194,2,14,194,20,2025-07-30
195,3,14,195,18,2025-07-30
196,4,14,196,27,2025-07-30
197,1,15,197,26,2025-07-30
198,2,15,198,18,2025-07-30
199,3,15,199,14,2025-07-30
200,4,15,200,48,2025-07-30
201,1,16,201,37,2025-07-30
202,2,16,202,22,2025-07-30
203,3,16,203,28,2025-07-30
204,4,16,204,40,2025-07-30
205,1,17,205,39,2025-07-30
206,2,17,206,14,2025-07-30
207,3,17,207,28,2025-07-30
208,4,17,208,33,2025-07-30
209,1,18,209,26,2025-07-30
210,2,18,210,18,2025-07-30
211,3,18,211,19,2025-07-30
212,4,18,212,29,2025-07-30
213,1,19,213,39,2025-07-30
214,2,19,214,15,2025-07-30
215,3,19,215,13,2025-07-30
216,4,19,216,17,2025-07-30
217,1,20,217,39,2025-07-30
218,2,20,218,17,2025-07-30
219,3,20,219,14,2025-07-30
220,4,20,220,24,2025-07-30
221,1,21,221,40,2025-07-30
222,2,21,222,25,2025-07-30
223,3,21,223,22,2025-07-30
224,4,21,224,19,2025-07-30
225,1,22,225,54,2025-07-30
226,2,22,226,18,2025-07-30
227,3,22,227,18,2025-07-30
228,4,22,228,22,2025-07-30
229,1,23,229,38,2025-07-30
230,2,23,230,19,2025-07-30
231,3,23,231,13,2025-07-30
232,4,23,232,28,2025-07-30
233,1,24,233,53,2025-07-30
234,2,24,234,22,2025-07-30
235,3,24,235,8,2025-07-30
236,4,24,236,27,2025-07-30
237,1,25,237,48,2025-07-30
238,2,25,238,21,2025-07-30
239,3,25,239,18,2025-07-30
240,4,25,240,25,2025-07-30
241,1,26,241,43,2025-07-30
242,2,26,242,25,2025-07-30
243,3,26,243,24,2025-07-30
244,4,26,244,23,2025-07-30
245,1,27,245,37,2025-07-30
246,2,27,246,31,2025-07-30
247,3,27,247,16,2025-07-30
248,4,27,248,27,2025-07-30
249,1,28,249,38,2025-07-30
250,2,28,250,36,2025-07-30
251,3,28,251,9,2025-07-30
252,4,28,252,18,2025-07-30
253,1,29,253,35,2025-07-30
254,2,29,254,40,2025-07-30
255,3,29,255,21,2025-07-30
256,4,29,256,21,2025-07-30
257,1,30,257,30,2025-07-30
258,2,30,258,37,2025-07-30
259,3,30,259,29,2025-07-30
260,4,30,260,28,2025-07-30
261,1,31,261,49,2025-07-30
262,2,31,262,10,2025-07-30
263,3,31,263,17,2025-07-30
264,4,31,264,24,2025-07-30
265,1,32,265,61,2025-07-30
266,2,32,266,19,2025-07-30
267,3,32,267,17,2025-07-30
268,4,32,268,39,2025-07-30
269,1,33,269,30,2025-07-30
270,2,33,270,12,2025-07-30
271,3,33,271,18,2025-07-30
272,4,33,272,22,2025-07-30
273,1,34,273,48,2025-07-30
274,2,34,274,19,2025-07-30
275,3,34,275,14,2025-07-30
276,4,34,276,19,2025-07-30
277,1,35,277,22,2025-07-30
278,2,35,278,29,2025-07-30
279,3,35,279,9,2025-07-30
280,4,35,280,27,2025-07-30
281,1,1,281,35,2025-07-31
282,2,1,282,18,2025-07-31
283,3,1,283,10,2025-07-31
284,4,1,284,24,2025-07-31
285,1,2,285,43,2025-07-31
286,2,2,286,32,2025-07-31
287,3,2,287,24,2025-07-31
288,4,2,288,22,2025-07-31
289,1,3,289,49,2025-07-31
290,2,3,290,15,2025-07-31
291,3,3,291,36,2025-07-31
292,4,3,292,22,2025-07-31
293,1,4,293,28,2025-07-31
294,2,4,294,30,2025-07-31
295,3,4,295,17,2025-07-31
296,4,4,296,22,2025-07-31
297,1,5,297,21,2025-07-31
298,2,5,298,27,2025-07-31
299,3,5,299,16,2025-07-31
300,4,5,300,31,2025-07-31
301,1,6,301,50,2025-07-31
302,2,6,302,23,2025-07-31
303,3,6,303,14,2025-07-31
304,4,6,304,28,2025-07-31
305,1,7,305,48,2025-07-31
306,2,7,306,24,2025-07-31
307,3,7,307,17,2025-07-31
308,4,7,308,35,2025-07-31
309,1,8,309,23,2025-07-31
310,2,8,310,19,2025-07-31
311,3,8,311,20,2025-07-31
312,4,8,312,20,2025-07-31
313,1,9,313,40,2025-07-31
314,2,9,314,26,2025-07-31
315,3,9,315,27,2025-07-31
316,4,9,316,14,2025-07-31
317,1,10,317,22,2025-07-31
318,2,10,318,31,2025-07-31
319,3,10,319,21,2025-07-31
320,4,10,320,28,2025-07-31
321,1,11,321,54,2025-07-31
322,2,11,322,25,2025-07-31
323,3,11,323,31,2025-07-31
324,4,11,324,30,2025-07-31
325,1,12,325,65,2025-07-31
326,2,12,326,19,2025-07-31
327,3,12,327,22,2025-07-31
328,4,12,328,25,2025-07-31
329,1,13,329,31,2025-07-31
330,2,13,330,20,2025-07-31
331,3,13,331,18,2025-07-31
332,4,13,332,31,2025-07-31
333,1,14,333,22,2025-07-31
334,2,14,334,13,2025-07-31
335,3,14,335,16,2025-07-31
336,4,14,336,34,2025-07-31
337,1,15,337,38,2025-07-31
338,2,15,338,38,2025-07-31
339,3,15,339,14,2025-07-31
340,4,15,340,12,2025-07-31
341,1,16,341,46,2025-07-31
342,2,16,342,22,2025-07-31
343,3,16,343,16,2025-07-31
344,4,16,344,16,2025-07-31
345,1,17,345,32,2025-07-31
346,2,17,346,16,2025-07-31
347,3,17,347,24,2025-07-31
348,4,17,348,30,2025-07-31
349,1,18,349,18,2025-07-31
350,2,18,350,26,2025-07-31
351,3,18,351,19,2025-07-31
352,4,18,352,16,2025-07-31
353,1,19,353,45,2025-07-31
354,2,19,354,16,2025-07-31
355,3,19,355,7,2025-07-31
356,4,19,356,17,2025-07-31
357,1,20,357,37,2025-07-31
358,2,20,358,27,2025-07-31
359,3,20,359,10,2025-07-31
360,4,20,360,49,2025-07-31
361,1,21,361,15,2025-07-31
362,2,21,362,38,2025-07-31
363,3,21,363,27,2025-07-31
364,4,21,364,27,2025-07-31
365,1,22,365,35,2025-07-31
366,2,22,366,23,2025-07-31
367,3,22,367,23,2025-07-31
368,4,22,368,26,2025-07-31
369,1,23,369,35,2025-07-31
370,2,23,370,24,2025-07-31
371,3,23,371,23,2025-07-31
372,4,23,372,38,2025-07-31
373,1,24,373,40,2025-07-31
374,2,24,374,26,2025-07-31
375,3,24,375,16,2025-07-31
376,4,24,376,29,2025-07-31
377,1,25,377,51,2025-07-31
378,2,25,378,16,2025-07-31
379,3,25,379,18,2025-07-31
380,4,25,380,26,2025-07-31
381,1,26,381,29,2025-07-31
382,2,26,382,39,2025-07-31
383,3,26,383,19,2025-07-31
384,4,26,384,29,2025-07-31
385,1,27,385,29,2025-07-31
386,2,27,386,20,2025-07-31
387,3,27,387,9,2025-07-31
388,4,27,388,35,2025-07-31
389,1,28,389,50,2025-07-31
390,2,28,390,13,2025-07-31
391,3,28,391,29,2025-07-31
392,4,28,392,26,2025-07-31
393,1,29,393,48,2025-07-31
394,2,29,394,15,2025-07-31
395,3,29,395,36,2025-07-31
396,4,29,396,13,2025-07-31
397,1,30,397,51,2025-07-31
398,2,30,398,23,2025-07-31
399,3,30,399,21,2025-07-31
400,4,30,400,10,2025-07-31
401,1,31,401,40,2025-07-31
402,2,31,402,29,2025-07-31
403,3,31,403,9,2025-07-31
404,4,31,404,29,2025-07-31
405,1,32,405,35,2025-07-31
406,2,32,406,24,2025-07-31
407,3,32,407,27,2025-07-31
408,4,32,408,23,2025-07-31
409,1,33,409,36,2025-07-31
410,2,33,410,17,2025-07-31
411,3,33,411,8,2025-07-31
412,4,33,412,22,2025-07-31
413,1,34,413,46,2025-07-31
414,2,34,414,11,2025-07-31
415,3,34,415,26,2025-07-31
416,4,34,416,42,2025-07-31
417,1,35,417,22,2025-07-31
418,2,35,418,18,2025-07-31
419,3,35,419,15,2025-07-31
420,4,35,420,51,2025-07-31
422,2,1,422,2,2025-08-01
423,3,1,423,17,2025-08-01
428,4,2,428,15,2025-08-01
430,2,3,430,13,2025-08-01
432,4,3,432,4,2025-08-01
433,1,4,433,1,2025-08-01
434,2,4,434,6,2025-08-01
435,3,4,435,2,2025-08-01
438,2,5,438,9,2025-08-01
439,3,5,439,2,2025-08-01
443,3,6,443,2,2025-08-01
444,4,6,444,2,2025-08-01
446,2,7,446,4,2025-08-01
448,4,7,448,3,2025-08-01
450,2,8,450,14,2025-08-01
451,3,8,451,8,2025-08-01
455,3,9,455,6,2025-08-01
456,4,9,456,1,2025-08-01
458,2,10,458,20,2025-08-01
461,1,11,461,12,2025-08-01
462,2,11,462,1,2025-08-01
464,4,11,464,11,2025-08-01
466,2,12,466,7,2025-08-01
467,3,12,467,4,2025-08-01
468,4,12,468,16,2025-08-01
470,2,13,470,4,2025-08-01
472,4,13,472,21,2025-08-01
473,1,14,473,8,2025-08-01
474,2,14,474,16,2025-08-01
477,1,15,477,10,2025-08-01
478,2,15,478,21,2025-08-01
479,3,15,479,17,2025-08-01
481,1,16,481,4,2025-08-01
483,3,16,483,6,2025-08-01
485,1,17,485,12,2025-08-01
489,1,18,489,7,2025-08-01
490,2,18,490,9,2025-08-01
491,3,18,491,3,2025-08-01
492,4,18,492,14,2025-08-01
493,1,19,493,3,2025-08-01
494,2,19,494,9,2025-08-01
495,3,19,495,12,2025-08-01
498,2,20,498,20,2025-08-01
499,3,20,499,4,2025-08-01
502,2,21,502,10,2025-08-01
504,4,21,504,18,2025-08-01
505,1,22,505,8,2025-08-01
509,1,23,509,15,2025-08-01
512,4,23,512,27,2025-08-01
513,1,24,513,7,2025-08-01
516,4,24,516,9,2025-08-01
518,2,25,518,25,2025-08-01
524,4,26,524,15,2025-08-01
526,2,27,526,1,2025-08-01
527,3,27,527,19,2025-08-01
528,4,27,528,35,2025-08-01
529,1,28,529,3,2025-08-01
530,2,28,530,8,2025-08-01
531,3,28,531,6,2025-08-01
532,4,28,532,24,2025-08-01
534,2,29,534,5,2025-08-01
536,4,29,536,1,2025-08-01
537,1,30,537,23,2025-08-01
540,4,30,540,4,2025-08-01
541,1,31,541,1,2025-08-01
544,4,31,544,8,2025-08-01
548,4,32,548,7,2025-08-01
550,2,33,550,2,2025-08-01
552,4,33,552,38,2025-08-01
553,1,34,553,22,2025-08-01
554,2,34,554,9,2025-08-01
558,2,35,558,15,2025-08-01
560,4,35,560,11,2025-08-01
561,1,1,561,10,2025-08-02
572,4,3,572,10,2025-08-02
575,3,4,575,11,2025-08-02
579,3,5,579,3,2025-08-02
584,4,6,584,2,2025-08-02
589,1,8,589,7,2025-08-02
591,3,8,591,7,2025-08-02
594,2,9,594,2,2025-08-02
606,2,12,606,7,2025-08-02
607,3,12,607,11,2025-08-02
608,4,12,608,17,2025-08-02
618,2,15,618,4,2025-08-02
619,3,15,619,11,2025-08-02
620,4,15,620,3,2025-08-02
621,1,16,621,13,2025-08-02
623,3,16,623,12,2025-08-02
629,1,18,629,20,2025-08-02
632,4,18,632,4,2025-08-02
634,2,19,634,1,2025-08-02
635,3,19,635,17,2025-08-02
639,3,20,639,6,2025-08-02
640,4,20,640,5,2025-08-02
642,2,21,642,7,2025-08-02
646,2,22,646,5,2025-08-02
648,4,22,648,4,2025-08-02
651,3,23,651,8,2025-08-02
655,3,24,655,6,2025-08-02
656,4,24,656,5,2025-08-02
657,1,25,657,1,2025-08-02
658,2,25,658,2,2025-08-02
664,4,26,664,5,2025-08-02
670,2,28,670,7,2025-08-02
674,2,29,674,18,2025-08-02
678,2,30,678,24,2025-08-02
679,3,30,679,1,2025-08-02
688,4,32,688,7,2025-08-02
691,3,33,691,2,2025-08-02
692,4,33,692,9,2025-08-02
694,2,34,694,1,2025-08-02
697,1,35,697,2,2025-08-02
698,2,35,698,1,2025-08-02
700,4,35,700,7,2025-08-02
701,1,1,701,1,2025-08-03
711,3,3,711,7,2025-08-03
715,3,4,715,2,2025-08-03
731,3,8,731,7,2025-08-03
734,2,9,734,12,2025-08-03
738,2,10,738,6,2025-08-03
739,3,10,739,1,2025-08-03
742,2,11,742,3,2025-08-03
748,4,12,748,9,2025-08-03
758,2,15,758,12,2025-08-03
759,3,15,759,2,2025-08-03
765,1,17,765,12,2025-08-03
769,1,18,769,4,2025-08-03
784,4,21,784,7,2025-08-03
788,4,22,788,7,2025-08-03
792,4,23,792,3,2025-08-03
796,4,24,796,9,2025-08-03
807,3,27,807,4,2025-08-03
810,2,28,810,4,2025-08-03
819,3,30,819,5,2025-08-03
832,4,33,832,11,2025-08-03
833,1,34,833,1,2025-08-03
835,3,34,835,3,2025-08-03
878,2,10,878,13,2025-08-04
887,3,12,887,1,2025-08-04
905,1,17,905,20,2025-08-04
932,4,23,932,2,2025-08-04
947,3,27,947,3,2025-08-04
950,2,28,950,14,2025-08-04
970,2,33,970,5,2025-08-04
990,2,3,990,2,2025-08-05
991,3,3,991,10,2025-08-05
1027,3,12,1027,12,2025-08-05
1028,4,12,1028,1,2025-08-05
1064,4,21,1064,7,2025-08-05
1072,4,23,1072,3,2025-08-05
1090,2,28,1090,3,2025-08-05
1130,2,3,1130,5,2025-08-06
1147,3,7,1147,5,2025-08-06
1162,2,11,1162,4,2025-08-06
1167,3,12,1167,11,2025-08-06
1178,2,15,1178,2,2025-08-06
1266,2,2,1266,7,2025-08-07
1270,2,3,1270,5,2025-08-07
1275,3,4,1275,21,2025-08-07
1287,3,7,1287,24,2025-08-07
1302,2,11,1302,22,2025-08-07
1322,2,16,1322,10,2025-08-07
1327,3,17,1327,7,2025-08-07
1331,3,18,1331,5,2025-08-07
1346,2,22,1346,18,2025-08-07
1364,4,26,1364,5,2025-08-07
1370,2,28,1370,1,2025-08-07
1379,3,30,1379,1,2025-08-07
1406,2,2,1406,23,2025-08-08
1410,2,3,1410,14,2025-08-08
1456,4,14,1456,1,2025-08-08
1460,4,15,1460,6,2025-08-08
1463,3,16,1463,10,2025-08-08
1471,3,18,1471,8,2025-08-08
1497,1,25,1497,14,2025-08-08
1504,4,26,1504,3,2025-08-08
1510,2,28,1510,11,2025-08-08
1531,3,33,1531,3,2025-08-08
1538,2,35,1538,2,2025-08-08
1587,3,12,1587,2,2025-08-09
1588,4,12,1588,9,2025-08-09
1603,3,16,1603,13,2025-08-09
1626,2,22,1626,5,2025-08-09
1644,4,26,1644,18,2025-08-09
1690,2,3,1690,19,2025-08-10
1695,3,4,1695,5,2025-08-10
1714,2,9,1714,19,2025-08-10
1727,3,12,1727,3,2025-08-10
1728,4,12,1728,7,2025-08-10
1740,4,15,1740,10,2025-08-10
1784,4,26,1784,4,2025-08-10
1818,2,35,1818,6,2025-08-10
1830,2,3,1830,11,2025-08-11
1875,3,14,1875,3,2025-08-11
1917,1,25,1917,13,2025-08-11
1939,3,30,1939,5,2025-08-11
1955,3,34,1955,12,2025-08-11
1970,2,3,1970,6,2025-08-12
1990,2,8,1990,17,2025-08-12
2007,3,12,2007,1,2025-08-12
2019,3,15,2019,10,2025-08-12
2020,4,15,2020,8,2025-08-12
2024,4,16,2024,11,2025-08-12
2031,3,18,2031,23,2025-08-12
2033,1,19,2033,19,2025-08-12
2070,2,28,2070,9,2025-08-12
2079,3,30,2079,16,2025-08-12
2094,2,34,2094,14,2025-08-12
2095,3,34,2095,4,2025-08-12
2098,2,35,2098,1,2025-08-12
2102,2,1,2102,5,2025-08-13
2104,4,1,2104,2,2025-08-13
2110,2,3,2110,1,2025-08-13
2115,3,4,2115,44,2025-08-13
2130,2,8,2130,11,2025-08-13
2140,4,10,2140,12,2025-08-13
2148,4,12,2148,8,2025-08-13
2160,4,15,2160,10,2025-08-13
2162,2,16,2162,3,2025-08-13
2165,1,17,2165,8,2025-08-13
2169,1,18,2169,26,2025-08-13
2171,3,18,2171,3,2025-08-13
2177,1,20,2177,28,2025-08-13
2204,4,26,2204,9,2025-08-13
2209,1,28,2209,4,2025-08-13
2210,2,28,2210,5,2025-08-13
2218,2,30,2218,23,2025-08-13
2219,3,30,2219,16,2025-08-13
2227,3,32,2227,1,2025-08-13
2230,2,33,2230,16,2025-08-13
2234,2,34,2234,25,2025-08-13
2235,3,34,2235,2,2025-08-13
2238,2,35,2238,14,2025-08-13
2241,1,1,2241,13,2025-08-14
2242,2,1,2242,45,2025-08-14
2244,4,1,2244,4,2025-08-14
2250,2,3,2250,32,2025-08-14
2255,3,4,2255,14,2025-08-14
2265,1,7,2265,8,2025-08-14
2267,3,7,2267,1,2025-08-14
2270,2,8,2270,17,2025-08-14
2276,4,9,2276,6,2025-08-14
2280,4,10,2280,22,2025-08-14
2288,4,12,2288,29,2025-08-14
2300,4,15,2300,14,2025-08-14
2302,2,16,2302,3,2025-08-14
2304,4,16,2304,25,2025-08-14
2305,1,17,2305,29,2025-08-14
2309,1,18,2309,25,2025-08-14
2311,3,18,2311,22,2025-08-14
2313,1,19,2313,26,2025-08-14
2314,2,19,2314,37,2025-08-14
2317,1,20,2317,32,2025-08-14
2326,2,22,2326,15,2025-08-14
2337,1,25,2337,35,2025-08-14
2344,4,26,2344,44,2025-08-14
2349,1,28,2349,22,2025-08-14
2350,2,28,2350,10,2025-08-14
2355,3,29,2355,7,2025-08-14
2357,1,30,2357,11,2025-08-14
2358,2,30,2358,3,2025-08-14
2359,3,30,2359,23,2025-08-14
2363,3,31,2363,6,2025-08-14
2367,3,32,2367,20,2025-08-14
2370,2,33,2370,30,2025-08-14
2374,2,34,2374,15,2025-08-14
2375,3,34,2375,35,2025-08-14
2378,2,35,2378,29,2025-08-14
2379,3,35,2379,9,2025-08-14
2381,1,1,2381,29,2025-08-15
2382,2,1,2382,3,2025-08-15
2384,4,1,2384,35,2025-08-15
2386,2,2,2386,3,2025-08-15
2392,4,3,2392,2,2025-08-15
2400,4,5,2400,6,2025-08-15
2405,1,7,2405,21,2025-08-15
2407,3,7,2407,17,2025-08-15
2409,1,8,2409,26,2025-08-15
2416,4,9,2416,23,2025-08-15
2420,4,10,2420,36,2025-08-15
2427,3,12,2427,5,2025-08-15
2428,4,12,2428,10,2025-08-15
2438,2,15,2438,19,2025-08-15
2440,4,15,2440,11,2025-08-15
2442,2,16,2442,5,2025-08-15
2444,4,16,2444,7,2025-08-15
2445,1,17,2445,6,2025-08-15
2449,1,18,2449,12,2025-08-15
2451,3,18,2451,29,2025-08-15
2453,1,19,2453,21,2025-08-15
2454,2,19,2454,15,2025-08-15
2457,1,20,2457,16,2025-08-15
2466,2,22,2466,23,2025-08-15
2468,4,22,2468,18,2025-08-15
2477,1,25,2477,10,2025-08-15
2484,4,26,2484,7,2025-08-15
2489,1,28,2489,15,2025-08-15
2490,2,28,2490,6,2025-08-15
2495,3,29,2495,6,2025-08-15
2496,4,29,2496,1,2025-08-15
2497,1,30,2497,2,2025-08-15
2498,2,30,2498,7,2025-08-15
2499,3,30,2499,6,2025-08-15
2503,3,31,2503,17,2025-08-15
2507,3,32,2507,9,2025-08-15
2510,2,33,2510,9,2025-08-15
2514,2,34,2514,17,2025-08-15
2515,3,34,2515,28,2025-08-15
2518,2,35,2518,7,2025-08-15
2519,3,35,2519,5,2025-08-15
2521,1,1,2521,11,2025-08-16
2522,2,1,2522,3,2025-08-16
2526,2,2,2526,13,2025-08-16
2530,2,3,2530,12,2025-08-16
2531,3,3,2531,8,2025-08-16
2532,4,3,2532,25,2025-08-16
2540,4,5,2540,22,2025-08-16
2545,1,7,2545,9,2025-08-16
2547,3,7,2547,12,2025-08-16
2556,4,9,2556,5,2025-08-16
2560,4,10,2560,15,2025-08-16
2562,2,11,2562,1,2025-08-16
2567,3,12,2567,19,2025-08-16
2568,4,12,2568,14,2025-08-16
2578,2,15,2578,2,2025-08-16
2580,4,15,2580,2,2025-08-16
2582,2,16,2582,24,2025-08-16
2584,4,16,2584,31,2025-08-16
2585,1,17,2585,14,2025-08-16
2593,1,19,2593,1,2025-08-16
2606,2,22,2606,5,2025-08-16
2608,4,22,2608,2,2025-08-16
2616,4,24,2616,16,2025-08-16
2617,1,25,2617,34,2025-08-16
2624,4,26,2624,15,2025-08-16
2629,1,28,2629,11,2025-08-16
2630,2,28,2630,20,2025-08-16
2632,4,28,2632,3,2025-08-16
2635,3,29,2635,32,2025-08-16
2636,4,29,2636,7,2025-08-16
2638,2,30,2638,11,2025-08-16
2647,3,32,2647,18,2025-08-16
2650,2,33,2650,3,2025-08-16
2654,2,34,2654,4,2025-08-16
2655,3,34,2655,2,2025-08-16
2659,3,35,2659,15,2025-08-16
2660,4,35,2660,6,2025-08-16
2661,1,1,2661,19,2025-08-17
2666,2,2,2666,10,2025-08-17
2671,3,3,2671,4,2025-08-17
2675,3,4,2675,3,2025-08-17
2676,4,4,2676,1,2025-08-17
2680,4,5,2680,8,2025-08-17
2687,3,7,2687,8,2025-08-17
2693,1,9,2693,9,2025-08-17
2702,2,11,2702,3,2025-08-17
2720,4,15,2720,2,2025-08-17
2729,1,18,2729,7,2025-08-17
2733,1,19,2733,6,2025-08-17
2737,1,20,2737,5,2025-08-17
2747,3,22,2747,4,2025-08-17
2750,2,23,2750,1,2025-08-17
2756,4,24,2756,29,2025-08-17
2757,1,25,2757,19,2025-08-17
2764,4,26,2764,8,2025-08-17
2769,1,28,2769,23,2025-08-17
2778,2,30,2778,5,2025-08-17
2787,3,32,2787,15,2025-08-17
2790,2,33,2790,3,2025-08-17
2791,3,33,2791,8,2025-08-17
2794,2,34,2794,6,2025-08-17
2795,3,34,2795,18,2025-08-17
