id,receivingId,flowerId,shippedQuantity,actualReceivedQuantity,acceptedQuantity,unusableQuantity,unusableNotes
68,3,14,23,23,22,1,Rejected at QC: damaged or below grade
69,4,14,23,23,22,1,Rejected at QC: damaged or below grade
70,5,14,18,18,17,1,Rejected at QC: damaged or below grade
71,1,15,21,21,20,1,Rejected at QC: damaged or below grade
72,2,15,21,21,19,2,Rejected at QC: damaged or below grade
73,3,15,16,16,15,1,Rejected at QC: damaged or below grade
74,4,15,20,20,19,1,Rejected at QC: damaged or below grade
75,5,15,19,19,18,1,Rejected at QC: damaged or below grade
76,1,16,23,23,22,1,Rejected at QC: damaged or below grade
77,2,16,21,21,19,2,Rejected at QC: damaged or below grade
78,3,16,19,19,18,1,Rejected at QC: damaged or below grade
79,4,16,21,21,20,1,Rejected at QC: damaged or below grade
80,5,16,24,24,23,1,Rejected at QC: damaged or below grade
81,1,17,18,18,17,1,Rejected at QC: damaged or below grade
82,2,17,21,21,20,1,Rejected at QC: damaged or below grade
83,3,17,20,20,19,1,Rejected at QC: damaged or below grade
84,4,17,16,16,15,1,Rejected at QC: damaged or below grade
85,5,17,18,18,17,1,Rejected at QC: damaged or below grade
86,1,18,21,21,19,2,Rejected at QC: damaged or below grade
87,2,18,25,25,23,2,Rejected at QC: damaged or below grade
88,3,18,25,25,24,1,Rejected at QC: damaged or below grade
89,4,18,25,25,23,2,Rejected at QC: damaged or below grade
90,5,18,22,22,21,1,Rejected at QC: damaged or below grade
91,1,19,19,19,18,1,Rejected at QC: damaged or below grade
92,2,19,20,20,19,1,Rejected at QC: damaged or below grade
93,3,19,23,23,21,2,Rejected at QC: damaged or below grade
94,4,19,25,25,24,1,Rejected at QC: damaged or below grade
95,5,19,22,22,21,1,Rejected at QC: damaged or below grade
96,1,20,20,20,19,1,Rejected at QC: damaged or below grade
97,2,20,19,19,18,1,Rejected at QC: damaged or below grade
98,3,20,21,21,20,1,Rejected at QC: damaged or below grade
99,4,20,17,17,16,1,Rejected at QC: damaged or below grade
100,5,20,18,18,17,1,Rejected at QC: damaged or below grade
101,1,21,26,26,25,1,Rejected at QC: damaged or below grade
102,2,21,20,20,19,1,Rejected at QC: damaged or below grade
103,3,21,22,22,21,1,Rejected at QC: damaged or below grade
104,4,21,23,23,21,2,Rejected at QC: damaged or below grade
105,5,21,22,22,21,1,Rejected at QC: damaged or below grade
106,1,22,19,19,18,1,Rejected at QC: damaged or below grade
107,2,22,19,19,18,1,Rejected at QC: damaged or below grade
108,3,22,18,18,17,1,Rejected at QC: damaged or below grade
109,4,22,16,16,15,1,Rejected at QC: damaged or below grade
110,5,22,17,17,16,1,Rejected at QC: damaged or below grade
111,1,23,23,23,21,2,Rejected at QC: damaged or below grade
112,2,23,21,21,20,1,Rejected at QC: damaged or below grade
113,3,23,18,18,17,1,Rejected at QC: damaged or below grade
114,4,23,21,21,20,1,Rejected at QC: damaged or below grade
115,5,23,22,22,20,2,Rejected at QC: damaged or below grade
116,1,24,17,17,16,1,Rejected at QC: damaged or below grade
117,2,24,17,17,16,1,Rejected at QC: damaged or below grade
118,3,24,19,19,18,1,Rejected at QC: damaged or below grade
119,4,24,16,16,15,1,Rejected at QC: damaged or below grade
120,5,24,19,19,18,1,Rejected at QC: damaged or below grade
121,1,25,22,22,21,1,Rejected at QC: damaged or below grade
122,2,25,21,21,19,2,Rejected at QC: damaged or below grade
123,3,25,17,17,16,1,Rejected at QC: damaged or below grade
124,4,25,19,19,18,1,Rejected at QC: damaged or below grade
125,5,25,20,20,19,1,Rejected at QC: damaged or below grade
126,1,26,27,27,25,2,Rejected at QC: damaged or below grade
127,2,26,23,23,22,1,Rejected at QC: damaged or below grade
128,3,26,24,24,23,1,Rejected at QC: damaged or below grade
129,4,26,26,26,24,2,Rejected at QC: damaged or below grade
130,5,26,21,21,20,1,Rejected at QC: damaged or below grade
131,1,27,24,24,23,1,Rejected at QC: damaged or below grade
132,2,27,25,25,23,2,Rejected at QC: damaged or below grade
133,3,27,24,24,23,1,Rejected at QC: damaged or below grade
134,4,27,27,27,26,1,Rejected at QC: damaged or below grade
135,5,27,21,21,20,1,Rejected at QC: damaged or below grade
136,1,28,19,19,18,1,Rejected at QC: damaged or below grade
137,2,28,21,21,20,1,Rejected at QC: damaged or below grade
138,3,28,19,19,18,1,Rejected at QC: damaged or below grade
139,4,28,19,19,18,1,Rejected at QC: damaged or below grade
140,5,28,23,23,22,1,Rejected at QC: damaged or below grade
141,1,29,22,22,21,1,Rejected at QC: damaged or below grade
142,2,29,21,21,20,1,Rejected at QC: damaged or below grade
143,3,29,23,23,22,1,Rejected at QC: damaged or below grade
144,4,29,19,19,18,1,Rejected at QC: damaged or below grade
145,5,29,22,22,21,1,Rejected at QC: damaged or below grade
146,1,30,20,20,19,1,Rejected at QC: damaged or below grade
147,2,30,23,23,22,1,Rejected at QC: damaged or below grade
148,3,30,25,25,24,1,Rejected at QC: damaged or below grade
149,4,30,26,26,24,2,Rejected at QC: damaged or below grade
150,5,30,21,21,20,1,Rejected at QC: damaged or below grade
151,1,31,16,16,15,1,Rejected at QC: damaged or below grade
152,2,31,16,16,15,1,Rejected at QC: damaged or below grade
153,3,31,19,19,18,1,Rejected at QC: damaged or below grade
154,4,31,17,17,16,1,Rejected at QC: damaged or below grade
155,5,31,23,23,22,1,Rejected at QC: damaged or below grade
156,1,32,26,26,25,1,Rejected at QC: damaged or below grade
157,2,32,20,20,19,1,Rejected at QC: damaged or below grade
158,3,32,20,20,19,1,Rejected at QC: damaged or below grade
159,4,32,23,23,22,1,Rejected at QC: damaged or below grade
160,5,32,28,28,27,1,Rejected at QC: damaged or below grade
161,1,33,19,19,17,2,Rejected at QC: damaged or below grade
162,2,33,26,26,25,1,Rejected at QC: damaged or below grade
163,3,33,20,20,19,1,Rejected at QC: damaged or below grade
164,4,33,23,23,21,2,Rejected at QC: damaged or below grade
165,5,33,24,24,23,1,Rejected at QC: damaged or below grade
166,1,34,17,17,16,1,Rejected at QC: damaged or below grade
167,2,34,20,20,19,1,Rejected at QC: damaged or below grade
168,3,34,17,17,17,0,
169,4,34,15,15,14,1,Rejected at QC: damaged or below grade
170,5,34,20,20,19,1,Rejected at QC: damaged or below grade
171,1,35,20,20,19,1,Rejected at QC: damaged or below grade
172,2,35,20,20,19,1,Rejected at QC: damaged or below grade
173,3,35,17,17,16,1,Rejected at QC: damaged or below grade
174,4,35,14,14,13,1,Rejected at QC: damaged or below grade
175,5,35,19,19,18,1,Rejected at QC: damaged or below grade
176,6,1,19,19,17,2,Rejected at QC: damaged or below grade
177,7,1,22,22,21,1,Rejected at QC: damaged or below grade
178,8,1,26,26,24,2,Rejected at QC: damaged or below grade
179,9,1,22,22,20,2,Rejected at QC: damaged or below grade
180,10,1,19,19,18,1,Rejected at QC: damaged or below grade
181,6,2,20,20,19,1,Rejected at QC: damaged or below grade
182,7,2,22,22,21,1,Rejected at QC: damaged or below grade
183,8,2,18,18,17,1,Rejected at QC: damaged or below grade
184,9,2,19,19,18,1,Rejected at QC: damaged or below grade
185,10,2,22,22,21,1,Rejected at QC: damaged or below grade
186,6,3,24,24,23,1,Rejected at QC: damaged or below grade
187,7,3,24,24,23,1,Rejected at QC: damaged or below grade
188,8,3,23,23,21,2,Rejected at QC: damaged or below grade
189,9,3,23,23,22,1,Rejected at QC: damaged or below grade
190,10,3,18,18,17,1,Rejected at QC: damaged or below grade
191,6,4,19,19,18,1,Rejected at QC: damaged or below grade
192,7,4,23,23,22,1,Rejected at QC: damaged or below grade
193,8,4,22,22,20,2,Rejected at QC: damaged or below grade
194,9,4,21,21,20,1,Rejected at QC: damaged or below grade
195,10,4,19,19,18,1,Rejected at QC: damaged or below grade
196,6,5,19,19,18,1,Rejected at QC: damaged or below grade
197,7,5,19,19,18,1,Rejected at QC: damaged or below grade
198,8,5,24,24,23,1,Rejected at QC: damaged or below grade
199,9,5,22,22,21,1,Rejected at QC: damaged or below grade
200,10,5,18,18,17,1,Rejected at QC: damaged or below grade
201,6,6,19,19,18,1,Rejected at QC: damaged or below grade
202,7,6,21,21,20,1,Rejected at QC: damaged or below grade
203,8,6,15,15,14,1,Rejected at QC: damaged or below grade
204,9,6,18,18,18,0,
205,10,6,19,19,18,1,Rejected at QC: damaged or below grade
206,6,7,29,29,27,2,Rejected at QC: damaged or below grade
207,7,7,30,30,29,1,Rejected at QC: damaged or below grade
208,8,7,26,26,25,1,Rejected at QC: damaged or below grade
209,9,7,24,24,24,0,
210,10,7,31,31,30,1,Rejected at QC: damaged or below grade
211,6,8,24,24,23,1,Rejected at QC: damaged or below grade
212,7,8,27,27,25,2,Rejected at QC: damaged or below grade
213,8,8,23,23,22,1,Rejected at QC: damaged or below grade
214,9,8,25,25,23,2,Rejected at QC: damaged or below grade
215,10,8,21,21,20,1,Rejected at QC: damaged or below grade
216,6,9,24,24,22,2,Rejected at QC: damaged or below grade
217,7,9,19,19,18,1,Rejected at QC: damaged or below grade
218,8,9,24,24,23,1,Rejected at QC: damaged or below grade
219,9,9,24,24,23,1,Rejected at QC: damaged or below grade
220,10,9,20,20,19,1,Rejected at QC: damaged or below grade
221,6,10,16,16,16,0,
222,7,10,16,16,15,1,Rejected at QC: damaged or below grade
223,8,10,15,15,14,1,Rejected at QC: damaged or below grade
224,9,10,18,18,17,1,Rejected at QC: damaged or below grade
225,10,10,18,18,18,0,
226,6,11,22,22,21,1,Rejected at QC: damaged or below grade
227,7,11,21,21,20,1,Rejected at QC: damaged or below grade
228,8,11,20,20,19,1,Rejected at QC: damaged or below grade
229,9,11,21,21,20,1,Rejected at QC: damaged or below grade
230,10,11,22,22,21,1,Rejected at QC: damaged or below grade
231,6,12,28,28,26,2,Rejected at QC: damaged or below grade
232,7,12,29,29,27,2,Rejected at QC: damaged or below grade
233,8,12,29,29,28,1,Rejected at QC: damaged or below grade
234,9,12,29,29,27,2,Rejected at QC: damaged or below grade
235,10,12,23,23,22,1,Rejected at QC: damaged or below grade
236,6,13,26,26,25,1,Rejected at QC: damaged or below grade
237,7,13,20,20,18,2,Rejected at QC: damaged or below grade
238,8,13,19,19,18,1,Rejected at QC: damaged or below grade
239,9,13,25,25,24,1,Rejected at QC: damaged or below grade
240,10,13,22,22,21,1,Rejected at QC: damaged or below grade
241,6,14,20,20,19,1,Rejected at QC: damaged or below grade
242,7,14,23,23,22,1,Rejected at QC: damaged or below grade
243,8,14,19,19,19,0,
244,9,14,18,18,17,1,Rejected at QC: damaged or below grade
245,10,14,22,22,21,1,Rejected at QC: damaged or below grade
246,6,15,20,20,19,1,Rejected at QC: damaged or below grade
247,7,15,21,21,20,1,Rejected at QC: damaged or below grade
248,8,15,24,24,23,1,Rejected at QC: damaged or below grade
249,9,15,21,21,20,1,Rejected at QC: damaged or below grade
250,10,15,26,26,25,1,Rejected at QC: damaged or below grade
251,6,16,24,24,22,2,Rejected at QC: damaged or below grade
252,7,16,27,27,26,1,Rejected at QC: damaged or below grade
253,8,16,29,29,28,1,Rejected at QC: damaged or below grade
254,9,16,29,29,27,2,Rejected at QC: damaged or below grade
255,10,16,29,29,27,2,Rejected at QC: damaged or below grade
256,6,17,26,26,24,2,Rejected at QC: damaged or below grade
257,7,17,25,25,24,1,Rejected at QC: damaged or below grade
258,8,17,25,25,23,2,Rejected at QC: damaged or below grade
259,9,17,26,26,24,2,Rejected at QC: damaged or below grade
260,10,17,22,22,21,1,Rejected at QC: damaged or below grade
261,6,18,18,18,17,1,Rejected at QC: damaged or below grade
262,7,18,20,20,19,1,Rejected at QC: damaged or below grade
263,8,18,23,23,22,1,Rejected at QC: damaged or below grade
264,9,18,19,19,18,1,Rejected at QC: damaged or below grade
265,10,18,19,19,18,1,Rejected at QC: damaged or below grade
266,6,19,20,20,20,0,
267,7,19,19,19,18,1,Rejected at QC: damaged or below grade
268,8,19,16,16,15,1,Rejected at QC: damaged or below grade
269,9,19,17,17,16,1,Rejected at QC: damaged or below grade
270,10,19,17,17,16,1,Rejected at QC: damaged or below grade
271,6,20,21,21,20,1,Rejected at QC: damaged or below grade
272,7,20,22,22,21,1,Rejected at QC: damaged or below grade
273,8,20,16,16,16,0,
274,9,20,19,19,18,1,Rejected at QC: damaged or below grade
275,10,20,20,20,19,1,Rejected at QC: damaged or below grade
276,6,21,25,25,24,1,Rejected at QC: damaged or below grade
277,7,21,23,23,22,1,Rejected at QC: damaged or below grade
278,8,21,23,23,22,1,Rejected at QC: damaged or below grade
279,9,21,20,20,18,2,Rejected at QC: damaged or below grade
280,10,21,23,23,23,0,
281,6,22,26,26,24,2,Rejected at QC: damaged or below grade
282,7,22,26,26,25,1,Rejected at QC: damaged or below grade
283,8,22,20,20,19,1,Rejected at QC: damaged or below grade
284,9,22,21,21,21,0,
285,10,22,28,28,26,2,Rejected at QC: damaged or below grade
286,6,23,23,23,22,1,Rejected at QC: damaged or below grade
287,7,23,18,18,17,1,Rejected at QC: damaged or below grade
288,8,23,21,21,20,1,Rejected at QC: damaged or below grade
289,9,23,20,20,19,1,Rejected at QC: damaged or below grade
290,10,23,23,23,22,1,Rejected at QC: damaged or below grade
291,6,24,21,21,19,2,Rejected at QC: damaged or below grade
292,7,24,23,23,22,1,Rejected at QC: damaged or below grade
293,8,24,28,28,26,2,Rejected at QC: damaged or below grade
294,9,24,27,27,26,1,Rejected at QC: damaged or below grade
295,10,24,24,24,22,2,Rejected at QC: damaged or below grade
296,6,25,28,28,26,2,Rejected at QC: damaged or below grade
297,7,25,20,20,19,1,Rejected at QC: damaged or below grade
298,8,25,23,23,21,2,Rejected at QC: damaged or below grade
299,9,25,24,24,23,1,Rejected at QC: damaged or below grade
300,10,25,27,27,26,1,Rejected at QC: damaged or below grade
301,6,26,22,22,21,1,Rejected at QC: damaged or below grade
302,7,26,23,23,22,1,Rejected at QC: damaged or below grade
303,8,26,23,23,21,2,Rejected at QC: damaged or below grade
304,9,26,30,30,29,1,Rejected at QC: damaged or below grade
305,10,26,26,26,24,2,Rejected at QC: damaged or below grade
306,6,27,21,21,20,1,Rejected at QC: damaged or below grade
307,7,27,24,24,23,1,Rejected at QC: damaged or below grade
308,8,27,21,21,20,1,Rejected at QC: damaged or below grade
309,9,27,28,28,27,1,Rejected at QC: damaged or below grade
310,10,27,23,23,22,1,Rejected at QC: damaged or below grade
311,6,28,19,19,19,0,
312,7,28,24,24,23,1,Rejected at QC: damaged or below grade
313,8,28,19,19,18,1,Rejected at QC: damaged or below grade
314,9,28,24,24,22,2,Rejected at QC: damaged or below grade
315,10,28,21,21,20,1,Rejected at QC: damaged or below grade
316,6,29,22,22,21,1,Rejected at QC: damaged or below grade
317,7,29,27,27,25,2,Rejected at QC: damaged or below grade
318,8,29,25,25,23,2,Rejected at QC: damaged or below grade
319,9,29,25,25,24,1,Rejected at QC: damaged or below grade
320,10,29,26,26,25,1,Rejected at QC: damaged or below grade
321,6,30,25,25,24,1,Rejected at QC: damaged or below grade
322,7,30,26,26,25,1,Rejected at QC: damaged or below grade
323,8,30,29,29,27,2,Rejected at QC: damaged or below grade
324,9,30,30,30,28,2,Rejected at QC: damaged or below grade
325,10,30,26,26,24,2,Rejected at QC: damaged or below grade
326,6,31,22,22,22,0,
327,7,31,21,21,20,1,Rejected at QC: damaged or below grade
328,8,31,21,21,20,1,Rejected at QC: damaged or below grade
329,9,31,20,20,19,1,Rejected at QC: damaged or below grade
330,10,31,21,21,20,1,Rejected at QC: damaged or below grade
331,6,32,30,30,29,1,Rejected at QC: damaged or below grade
332,7,32,27,27,25,2,Rejected at QC: damaged or below grade
333,8,32,26,26,24,2,Rejected at QC: damaged or below grade
334,9,32,36,36,33,3,Rejected at QC: damaged or below grade
335,10,32,27,27,26,1,Rejected at QC: damaged or below grade
336,6,33,17,17,16,1,Rejected at QC: damaged or below grade
337,7,33,16,16,15,1,Rejected at QC: damaged or below grade
338,8,33,20,20,19,1,Rejected at QC: damaged or below grade
339,9,33,16,16,15,1,Rejected at QC: damaged or below grade
340,10,33,18,18,17,1,Rejected at QC: damaged or below grade
341,6,34,19,19,18,1,Rejected at QC: damaged or below grade
342,7,34,25,25,24,1,Rejected at QC: damaged or below grade
343,8,34,21,21,19,2,Rejected at QC: damaged or below grade
344,9,34,21,21,20,1,Rejected at QC: damaged or below grade
345,10,34,21,21,20,1,Rejected at QC: damaged or below grade
346,6,35,16,16,15,1,Rejected at QC: damaged or below grade
347,7,35,18,18,17,1,Rejected at QC: damaged or below grade
348,8,35,18,18,17,1,Rejected at QC: damaged or below grade
349,9,35,18,18,17,1,Rejected at QC: damaged or below grade
350,10,35,21,21,21,0,
351,11,1,20,20,19,1,Rejected at QC: damaged or below grade
352,12,1,17,17,16,1,Rejected at QC: damaged or below grade
353,13,1,19,19,18,1,Rejected at QC: damaged or below grade
354,14,1,19,19,18,1,Rejected at QC: damaged or below grade
355,15,1,19,19,18,1,Rejected at QC: damaged or below grade
356,11,2,22,22,21,1,Rejected at QC: damaged or below grade
357,12,2,24,24,22,2,Rejected at QC: damaged or below grade
358,13,2,29,29,28,1,Rejected at QC: damaged or below grade
359,14,2,29,29,27,2,Rejected at QC: damaged or below grade
360,15,2,26,26,25,1,Rejected at QC: damaged or below grade
361,11,3,23,23,22,1,Rejected at QC: damaged or below grade
362,12,3,30,30,28,2,Rejected at QC: damaged or below grade
363,13,3,26,26,25,1,Rejected at QC: damaged or below grade
364,14,3,24,24,23,1,Rejected at QC: damaged or below grade
365,15,3,28,28,26,2,Rejected at QC: damaged or below grade
366,11,4,18,18,17,1,Rejected at QC: damaged or below grade
367,12,4,23,23,22,1,Rejected at QC: damaged or below grade
368,13,4,21,21,20,1,Rejected at QC: damaged or below grade
369,14,4,22,22,20,2,Rejected at QC: damaged or below grade
370,15,4,19,19,18,1,Rejected at QC: damaged or below grade
371,11,5,18,18,17,1,Rejected at QC: damaged or below grade
372,12,5,19,19,18,1,Rejected at QC: damaged or below grade
373,13,5,24,24,23,1,Rejected at QC: damaged or below grade
374,14,5,21,21,20,1,Rejected at QC: damaged or below grade
375,15,5,20,20,19,1,Rejected at QC: damaged or below grade
376,11,6,23,23,22,1,Rejected at QC: damaged or below grade
377,12,6,23,23,22,1,Rejected at QC: damaged or below grade
378,13,6,27,27,26,1,Rejected at QC: damaged or below grade
379,14,6,26,26,25,1,Rejected at QC: damaged or below grade
380,15,6,21,21,20,1,Rejected at QC: damaged or below grade
381,11,7,25,25,24,1,Rejected at QC: damaged or below grade
382,12,7,23,23,22,1,Rejected at QC: damaged or below grade
383,13,7,33,33,31,2,Rejected at QC: damaged or below grade
384,14,7,27,27,25,2,Rejected at QC: damaged or below grade
385,15,7,26,26,25,1,Rejected at QC: damaged or below grade
386,11,8,15,15,15,0,
387,12,8,17,17,16,1,Rejected at QC: damaged or below grade
388,13,8,21,21,20,1,Rejected at QC: damaged or below grade
389,14,8,21,21,20,1,Rejected at QC: damaged or below grade
390,15,8,15,15,14,1,Rejected at QC: damaged or below grade
391,11,9,25,25,24,1,Rejected at QC: damaged or below grade
392,12,9,20,20,19,1,Rejected at QC: damaged or below grade
393,13,9,25,25,24,1,Rejected at QC: damaged or below grade
394,14,9,23,23,21,2,Rejected at QC: damaged or below grade
395,15,9,20,20,19,1,Rejected at QC: damaged or below grade
396,11,10,22,22,21,1,Rejected at QC: damaged or below grade
397,12,10,19,19,18,1,Rejected at QC: damaged or below grade
398,13,10,24,24,23,1,Rejected at QC: damaged or below grade
399,14,10,22,22,21,1,Rejected at QC: damaged or below grade
400,15,10,21,21,20,1,Rejected at QC: damaged or below grade
401,11,11,25,25,24,1,Rejected at QC: damaged or below grade
402,12,11,32,32,31,1,Rejected at QC: damaged or below grade
403,13,11,32,32,31,1,Rejected at QC: damaged or below grade
404,14,11,30,30,29,1,Rejected at QC: damaged or below grade
405,15,11,30,30,29,1,Rejected at QC: damaged or below grade
406,11,12,28,28,27,1,Rejected at QC: damaged or below grade
407,12,12,32,32,30,2,Rejected at QC: damaged or below grade
408,13,12,27,27,26,1,Rejected at QC: damaged or below grade
409,14,12,27,27,26,1,Rejected at QC: damaged or below grade
410,15,12,27,27,25,2,Rejected at QC: damaged or below grade
411,11,13,24,24,23,1,Rejected at QC: damaged or below grade
412,12,13,19,19,18,1,Rejected at QC: damaged or below grade
413,13,13,22,22,20,2,Rejected at QC: damaged or below grade
414,14,13,26,26,24,2,Rejected at QC: damaged or below grade
415,15,13,20,20,18,2,Rejected at QC: damaged or below grade
416,11,14,16,16,15,1,Rejected at QC: damaged or below grade
417,12,14,20,20,19,1,Rejected at QC: damaged or below grade
418,13,14,17,17,17,0,
419,14,14,20,20,19,1,Rejected at QC: damaged or below grade
420,15,14,16,16,16,0,
421,11,15,25,25,24,1,Rejected at QC: damaged or below grade
422,12,15,22,22,21,1,Rejected at QC: damaged or below grade
423,13,15,22,22,20,2,Rejected at QC: damaged or below grade
424,14,15,20,20,19,1,Rejected at QC: damaged or below grade
425,15,15,20,20,19,1,Rejected at QC: damaged or below grade
426,11,16,24,24,23,1,Rejected at QC: damaged or below grade
427,12,16,19,19,18,1,Rejected at QC: damaged or below grade
428,13,16,22,22,20,2,Rejected at QC: damaged or below grade
429,14,16,19,19,19,0,
430,15,16,23,23,22,1,Rejected at QC: damaged or below grade
431,11,17,21,21,21,0,
432,12,17,19,19,19,0,
433,13,17,20,20,19,1,Rejected at QC: damaged or below grade
434,14,17,26,26,25,1,Rejected at QC: damaged or below grade
435,15,17,21,21,20,1,Rejected at QC: damaged or below grade
436,11,18,16,16,15,1,Rejected at QC: damaged or below grade
437,12,18,18,18,18,0,
438,13,18,19,19,18,1,Rejected at QC: damaged or below grade
439,14,18,14,14,13,1,Rejected at QC: damaged or below grade
440,15,18,17,17,16,1,Rejected at QC: damaged or below grade
441,11,19,18,18,18,0,
442,12,19,19,19,18,1,Rejected at QC: damaged or below grade
443,13,19,19,19,18,1,Rejected at QC: damaged or below grade
444,14,19,15,15,14,1,Rejected at QC: damaged or below grade
445,15,19,18,18,17,1,Rejected at QC: damaged or below grade
446,11,20,25,25,24,1,Rejected at QC: damaged or below grade
447,12,20,23,23,22,1,Rejected at QC: damaged or below grade
448,13,20,28,28,27,1,Rejected at QC: damaged or below grade
449,14,20,25,25,23,2,Rejected at QC: damaged or below grade
450,15,20,33,33,31,2,Rejected at QC: damaged or below grade
451,11,21,23,23,22,1,Rejected at QC: damaged or below grade
452,12,21,24,24,23,1,Rejected at QC: damaged or below grade
453,13,21,21,21,20,1,Rejected at QC: damaged or below grade
454,14,21,20,20,18,2,Rejected at QC: damaged or below grade
455,15,21,28,28,26,2,Rejected at QC: damaged or below grade
456,11,22,25,25,24,1,Rejected at QC: damaged or below grade
457,12,22,20,20,19,1,Rejected at QC: damaged or below grade
458,13,22,22,22,21,1,Rejected at QC: damaged or below grade
459,14,22,25,25,23,2,Rejected at QC: damaged or below grade
460,15,22,23,23,22,1,Rejected at QC: damaged or below grade
461,11,23,22,22,21,1,Rejected at QC: damaged or below grade
462,12,23,23,23,22,1,Rejected at QC: damaged or below grade
463,13,23,31,31,30,1,Rejected at QC: damaged or below grade
464,14,23,30,30,29,1,Rejected at QC: damaged or below grade
465,15,23,23,23,22,1,Rejected at QC: damaged or below grade
466,11,24,25,25,24,1,Rejected at QC: damaged or below grade
467,12,24,25,25,24,1,Rejected at QC: damaged or below grade
468,13,24,25,25,23,2,Rejected at QC: damaged or below grade
469,14,24,20,20,19,1,Rejected at QC: damaged or below grade
470,15,24,23,23,22,1,Rejected at QC: damaged or below grade
471,11,25,23,23,22,1,Rejected at QC: damaged or below grade
472,12,25,26,26,25,1,Rejected at QC: damaged or below grade
473,13,25,22,22,21,1,Rejected at QC: damaged or below grade
474,14,25,24,24,23,1,Rejected at QC: damaged or below grade
475,15,25,24,24,22,2,Rejected at QC: damaged or below grade
476,11,26,24,24,23,1,Rejected at QC: damaged or below grade
477,12,26,21,21,20,1,Rejected at QC: damaged or below grade
